Year,Country,Avg_Temperature_degC,CO2_Emissions_tons_per_capita,Sea_Level_Rise_mm,Rainfall_mm,Population,Renewable_Energy_pct,Extreme_Weather_Events,Forest_Area_pct,Total C02 Emissions (tons),Abv_Avg_Events,Climate,Population Size
2000,'South Africa',26.11428571428571,13.985714285714286,4.6,2762,539231125.0,25.41428571428571,14,32.51428571428571,6794520081.3714285,1,Warm,Medium
2000,Argentina,16.9,3.9,4.0,2047,564877556.0,15.5,11,18.4,2203022468.4,1,Temperate,Medium
2000,Australia,11.933333333333335,10.466666666666667,3.9,2834,831776454.0,25.566666666666666,13,58.13333333333333,6739353441.5,1,Temperate,Medium
2000,Brazil,31.2,14.6,3.7,803,255339962.0,28.3,9,21.7,3727963445.2,0,Warm,Small
2000,Canada,19.3,8.85,3.1,2279,414931290.5,22.75,14,42.1,3219692178.45,1,Temperate,Medium
2000,China,26.2,6.925000000000001,3.3,2090,692054707.5,36.675,13,44.525,4920301015.575,1,Warm,Medium
2000,France,16.6,14.6,3.7,2413,213601955.66666666,32.9,14,49.699999999999996,3893582310.5,1,Temperate,Small
2000,Germany,9.75,5.949999999999999,1.6,2904,926116364.5,32.25,6,42.4,3248190760.15,0,Cold,Medium
2000,India,21.25,12.25,4.7,1687,475745329.25,19.799999999999997,11,37.0,6459149264.475,1,Temperate,Medium
2000,Indonesia,23.585714285714285,13.942857142857141,5.0,2133,646381068.2857143,26.685714285714287,11,38.84285714285714,9003149739.842857,1,Temperate,Medium
2000,Mexico,16.9,4.4,1.4,2370,519457195.0,20.35,13,47.15,2236776434.2,1,Temperate,Medium
2000,Russia,11.0,9.9,5.0,1138,647111170.0,34.95,5,39.65,4018822242.5,0,Temperate,Medium
2000,UK,23.1875,10.9875,4.7,2559,859028389.375,28.125,14,51.2875,9270076943.475,1,Temperate,Medium
2000,USA,15.440000000000001,13.040000000000001,3.6,2681,692542847.8,32.019999999999996,14,38.78,7565301178.440001,1,Temperate,Medium
2001,'South Africa',21.724999999999998,4.5,3.6,2776,921542079.0,32.25,13,33.75,4881597549.099999,1,Temperate,Medium
2001,Argentina,21.975,12.600000000000001,4.7,2813,835770157.25,23.45,12,23.2,11864007902.400002,1,Temperate,Medium
2001,Australia,18.9,9.5,5.0,1962,667315454.0,25.0,12,40.55,5016915005.2,1,Temperate,Medium
2001,Brazil,17.15,11.350000000000001,4.6,1714,623329603.5,20.6,14,44.65,6630522634.1,1,Temperate,Medium
2001,Canada,21.25,13.8,4.0,1944,862518925.5,27.1,3,46.75,11542917055.95,0,Temperate,Medium
2001,China,27.4,19.0,3.9,2416,171927360.0,42.9,12,19.2,3266619840.0,1,Warm,Small
2001,France,27.0,13.3,4.4,2989,1018260723.0,38.5,14,64.6,13542867615.900002,1,Warm,Medium
2001,Germany,21.566666666666666,7.216666666666666,5.0,2378,759926230.3333334,21.366666666666664,14,46.800000000000004,5949851840.7,1,Temperate,Medium
2001,India,15.05,7.9,3.8,2112,458271595.5,18.75,9,25.55,6489348033.6,0,Temperate,Medium
2001,Indonesia,18.7,11.366666666666665,4.5,2412,376860014.3333333,23.7,14,58.6,4284113515.5,1,Temperate,Medium
2001,Japan,26.65,3.8,3.9,1219,673684847.5,10.8,9,51.15,2444744221.15,0,Warm,Medium
2001,Mexico,13.940000000000001,9.66,4.0,2925,523713478.0,23.7,14,38.260000000000005,4501726255.4800005,1,Temperate,Medium
2001,Russia,26.65,7.8,4.8,1707,956417017.5,27.900000000000002,9,43.75,7080331492.5,0,Warm,Medium
2001,UK,16.15,13.25,4.2,2063,488699943.0,30.5,12,51.425000000000004,7653415144.55,1,Temperate,Medium
2001,USA,24.5,19.4,3.6,2041,214534006.0,47.7,10,60.9,4161959716.4,0,Temperate,Small
2002,'South Africa',30.799999999999997,5.6,4.0,2381,260657828.5,28.5,12,37.85,1569283970.6000001,1,Warm,Small
2002,Argentina,20.950000000000003,15.100000000000001,2.6,1325,778623458.5,18.9,10,41.0,11857938225.099998,0,Temperate,Medium
2002,Australia,23.025,8.9,4.0,2519,524479760.25,24.725,13,35.875,6249316557.9,1,Temperate,Medium
2002,Brazil,14.266666666666667,11.066666666666668,3.1,2976,563195666.3333334,36.1,14,29.03333333333333,6881603019.8,1,Temperate,Medium
2002,Canada,22.6,11.65,4.5,2659,669252430.5,25.0875,14,34.2625,7738286273.6,1,Temperate,Medium
2002,France,23.53333333333333,16.733333333333334,4.7,2878,822687215.6666666,21.8,6,38.6,15292677098.833334,0,Temperate,Medium
